Date,Open,High,Low,Close,Adj Close,Volume,Company
17-08-2018,140.779999,141.710007,140.570007,141.330002,137.980637,7699600,VISA
20-08-2018,141.539993,141.600006,140.699997,140.940002,137.599884,4662200,VISA
21-08-2018,141,141.460007,139.800003,140.039993,136.721191,6854300,VISA
22-08-2018,139.850006,141.529999,139.850006,141.139999,137.795181,4191700,VISA
23-08-2018,141.009995,142.449997,140.770004,142.100006,138.732407,4426800,VISA
24-08-2018,142.320007,144.380005,142.320007,144.199997,140.782654,5714000,VISA
27-08-2018,144.990005,145.600006,144.710007,145.399994,141.954178,7194900,VISA
28-08-2018,145.630005,146.169998,144.869995,145.199997,141.758957,4925700,VISA
29-08-2018,145.460007,147.300003,145.419998,147.029999,143.545563,5192900,VISA
30-08-2018,146.820007,147.710007,146.360001,146.740005,143.262451,7804600,VISA
31-08-2018,146.740005,147.639999,146.5,146.889999,143.408844,5786600,VISA
04-09-2018,146.929993,147.860001,146.669998,147.800003,144.297333,7638100,VISA
05-09-2018,147,147.820007,142.550003,142.669998,139.288895,11363400,VISA
06-09-2018,143.289993,144.699997,142.539993,144.5,141.075562,9589200,VISA
07-09-2018,143.990005,144.440002,142.75,143.199997,139.806335,13626200,VISA
10-09-2018,144.130005,144.440002,143.210007,144.080002,140.665466,5362700,VISA
11-09-2018,143.460007,145.520004,143.25,145.490005,142.042084,9895900,VISA
12-09-2018,145.850006,146.800003,145.070007,146.570007,143.096481,6964100,VISA
13-09-2018,147.149994,148.070007,147.089996,147.630005,144.131363,5803400,VISA
14-09-2018,147.910004,148.369995,147.350006,147.839996,144.336349,4928300,VISA
17-09-2018,147.830002,147.899994,145.830002,146.179993,142.715714,7708600,VISA
18-09-2018,146.199997,148.089996,145.949997,147.630005,144.131363,5692100,VISA
19-09-2018,148.279999,148.820007,147.25,147.419998,143.926331,7432300,VISA
20-09-2018,147.990005,149.490005,147.199997,149.240005,145.703186,7172700,VISA
21-09-2018,149.949997,150.259995,149.350006,150.050003,146.494003,15628100,VISA
24-09-2018,149.160004,149.649994,147.270004,149.110001,145.576279,6706700,VISA
25-09-2018,149.710007,149.960007,149.100006,149.580002,146.035141,4230700,VISA
26-09-2018,150,150.419998,149.039993,149.270004,145.732483,5852400,VISA
27-09-2018,149.899994,150.639999,149.559998,150.020004,146.464722,5868500,VISA
28-09-2018,149.809998,150.369995,149.550003,150.089996,146.533051,6035900,VISA
01-10-2018,150.889999,151.559998,150.610001,150.789993,147.216461,9802100,VISA
02-10-2018,150.839996,150.839996,149.169998,149.669998,146.123032,8047500,VISA
03-10-2018,150.710007,150.710007,149.190002,149.369995,145.830154,7521100,VISA
04-10-2018,149.179993,149.279999,146.100006,146.759995,143.281982,9208900,VISA
05-10-2018,146.639999,147.410004,144.399994,145.360001,141.915161,7085700,VISA
08-10-2018,145.009995,145.009995,140.179993,141.889999,138.527374,11637300,VISA
09-10-2018,141.460007,143.289993,141.119995,142.309998,138.937454,10798000,VISA
10-10-2018,142.570007,142.690002,135.210007,135.520004,132.308334,15450100,VISA
11-10-2018,134.089996,137.240005,132.259995,133.729996,130.560776,15657200,VISA
12-10-2018,138.479996,140.979996,137.429993,140.059998,136.740723,12993300,VISA
15-10-2018,139.899994,140.059998,137.220001,137.229996,133.977798,7953000,VISA
16-10-2018,138.710007,142.139999,138.679993,141.740005,138.380951,11059500,VISA
17-10-2018,142.339996,142.860001,140.729996,142.449997,139.074127,9170600,VISA
18-10-2018,142.460007,142.460007,137.949997,139.289993,135.988998,10222600,VISA
19-10-2018,139.899994,142.190002,139.380005,140.080002,136.760254,8696900,VISA
22-10-2018,140.970001,141.539993,139.509995,140.639999,137.307007,6099500,VISA
23-10-2018,136.889999,140.039993,135.589996,139.119995,135.823044,10736100,VISA
24-10-2018,139.699997,140.179993,134,134.259995,131.078201,13849600,VISA
25-10-2018,135.449997,140.899994,132.5,140.520004,137.189865,14985900,VISA
26-10-2018,137.979996,139.869995,136.059998,137.740005,134.475739,12034900,VISA
29-10-2018,139.610001,141.509995,132.270004,134.330002,131.14653,12768200,VISA
30-10-2018,133.080002,134.860001,129.789993,132.759995,129.613739,15107600,VISA
31-10-2018,134.990005,139.119995,134.990005,137.850006,134.583099,13205300,VISA
01-11-2018,139,140.869995,137.490005,140.830002,137.492508,16024000,VISA
02-11-2018,141.110001,141.449997,137.850006,139.779999,136.467407,17063100,VISA
05-11-2018,139.800003,140.210007,138.070007,139.800003,136.486938,6280000,VISA
06-11-2018,139.800003,140.910004,139.720001,140.789993,137.45343,4732700,VISA
07-11-2018,142.339996,144.899994,142.320007,144.779999,141.348892,20502100,VISA
08-11-2018,144.600006,145.460007,143.649994,145.229996,141.788239,5927400,VISA
09-11-2018,144.199997,144.570007,142.360001,143.929993,140.519012,8339800,VISA
12-11-2018,143.419998,143.639999,139.169998,139.720001,136.408813,11335100,VISA
13-11-2018,140.350006,141.899994,139.009995,139.720001,136.408813,6287000,VISA
14-11-2018,142.020004,142.600006,138.410004,139.490005,136.184265,6613900,VISA
15-11-2018,138.850006,141.910004,137.929993,141.839996,138.727203,8565000,VISA
16-11-2018,140.419998,141.839996,139.919998,140.179993,137.103638,8628000,VISA
19-11-2018,140.470001,140.570007,134.25,134.759995,131.802582,16253000,VISA
20-11-2018,130.309998,134.529999,129.539993,133.369995,130.443054,12720200,VISA
21-11-2018,134.360001,135.779999,133.630005,134.419998,131.470032,7416300,VISA
23-11-2018,132.589996,134.25,132.490005,132.869995,129.954056,3676000,VISA
26-11-2018,134.600006,136.520004,134.25,135.940002,132.95668,9144600,VISA
27-11-2018,135.279999,136.309998,134.119995,135.910004,132.927353,7877900,VISA
28-11-2018,137.070007,141.539993,136.869995,141.380005,138.277267,11265100,VISA
29-11-2018,140.690002,140.699997,138.710007,139.100006,136.047302,8751500,VISA
30-11-2018,139.009995,142.259995,138.630005,141.710007,138.600067,11362800,VISA
03-12-2018,145,145.720001,143.850006,145,141.817856,11285600,VISA
04-12-2018,143.130005,144.350006,138.5,138.639999,135.597427,13988900,VISA
06-12-2018,135.039993,141.110001,133.479996,141.050003,137.954544,16391900,VISA
07-12-2018,140.820007,142.130005,135.990005,137.110001,134.100983,14007700,VISA
10-12-2018,136.25,138.270004,134.860001,137.880005,134.854111,15744300,VISA
11-12-2018,139.940002,140.050003,135.919998,136.809998,133.807602,12466300,VISA
12-12-2018,139.300003,140.880005,137.75,137.800003,134.775879,10387200,VISA
13-12-2018,138.300003,139.130005,136.149994,137.539993,134.521561,8780900,VISA
14-12-2018,135.690002,136.720001,134.550003,135.089996,132.125351,9351200,VISA
17-12-2018,134.210007,134.429993,130.690002,131.399994,128.516327,11796200,VISA
18-12-2018,132.289993,134.169998,131.800003,132.660004,129.748688,12761900,VISA
19-12-2018,132.929993,135.869995,129.520004,131.259995,128.379379,13819000,VISA
20-12-2018,130.160004,132.009995,127.150002,128.759995,125.93425,18091700,VISA
21-12-2018,127.18,130.330002,122.949997,124.260002,121.533012,25448600,VISA
24-12-2018,122.080002,125.209999,121.599998,121.730003,119.058533,8617700,VISA
26-12-2018,123.019997,130.240005,123,130.229996,127.371986,13499500,VISA
27-12-2018,127.989998,132.009995,126.519997,132.009995,129.11293,10883000,VISA
